trip_id,start_time,end_time,headway_secs,exact_times
"10.TA.93-228-0-j26-1.2.H","08:40:00","16:30:00","60","0"
"11.TA.93-228-0-j26-1.2.H","08:40:00","16:20:00","60","0"
"12.TA.93-228-0-j26-1.2.H","08:00:00","16:30:00","60","0"
"13.TA.93-228-0-j26-1.3.H","08:50:00","16:15:00","60","0"
"14.TA.93-228-0-j26-1.3.H","08:10:00","16:30:00","60","0"
"15.TA.93-228-0-j26-1.3.H","08:50:00","16:15:00","60","0"
"16.TA.93-228-0-j26-1.3.H","08:50:00","16:50:00","60","0"
"17.TA.93-228-0-j26-1.3.H","08:50:00","16:15:00","60","0"
"18.TA.93-228-0-j26-1.4.R","08:30:00","16:50:00","60","0"
"19.TA.93-228-0-j26-1.4.R","07:00:00","18:00:00","60","0"
"20.TA.93-228-0-j26-1.4.R","08:30:00","17:30:00","60","0"
"21.TA.93-228-0-j26-1.4.R","08:30:00","17:00:00","60","0"
"22.TA.93-228-0-j26-1.4.R","08:30:00","17:00:00","60","0"
"23.TA.93-228-0-j26-1.4.R","08:30:00","17:30:00","60","0"
"24.TA.93-228-0-j26-1.4.R","08:30:00","17:00:00","60","0"
"25.TA.93-228-0-j26-1.5.R","08:40:00","16:50:00","60","0"
"26.TA.93-228-0-j26-1.5.R","08:40:00","17:05:00","60","0"
"27.TA.93-228-0-j26-1.5.R","08:00:00","17:00:00","60","0"
"28.TA.93-228-0-j26-1.5.R","08:40:00","16:40:00","60","0"
"29.TA.93-228-0-j26-1.5.R","08:40:00","16:40:00","60","0"
"30.TA.93-228-0-j26-1.6.R","08:10:00","16:45:00","60","0"
"31.TA.93-228-0-j26-1.6.R","08:50:00","17:00:00","60","0"
"32.TA.93-228-0-j26-1.6.R","08:50:00","16:30:00","60","0"
"33.TA.93-228-0-j26-1.6.R","08:50:00","16:35:00","60","0"
"34.TA.93-228-0-j26-1.6.R","08:50:00","16:30:00","60","0"
